instruction,input,output,user,therapist
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm trying to maintain my daily routine. It helps me stay grounded.,Establishing a routine is a wonderful way to find stability. How has that been working for you?,User 9,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I had a good day at work today and felt productive.,That's excellent. Recognizing those productive days is important for your progress.,User 2,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I went for a long walk today and it really cleared my head.,Nature and movement can be very therapeutic. How did you feel afterwards?,User 10,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.","I'm feeling neutral today, neither good nor bad.",Neutral days are a perfectly valid part of the process. Is there anything specific on your mind?,User 8,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I had a huge argument with my family and I feel completely drained and hopeless.,I'm so sorry you're going through that. Conflict with loved ones is exhausting. Let's talk about what happened.,User 8,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I had a good day at work today and felt productive.,That's excellent. Recognizing those productive days is important for your progress.,User 5,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I went for a long walk today and it really cleared my head.,Nature and movement can be very therapeutic. How did you feel afterwards?,User 9,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm trying to maintain my daily routine. It helps me stay grounded.,Establishing a routine is a wonderful way to find stability. How has that been working for you?,User 2,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm feeling incredibly overwhelmed and I don't think I can handle this anymore.,I hear how much pain you're in right now. Please know that you don't have to carry this alone. Let's breathe through this together.,User 3,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm so angry and frustrated that I just want to give up.,Anger is often a signal that a boundary has been crossed or a need isn't being met. Let's explore that frustration.,User 7,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm curious about how to improve my sleep habits.,Sleep is foundational for mental health. We can certainly look at some sleep hygiene tips together.,User 6,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.","I've been feeling okay lately, just wanted to check in and talk about my week.",It's great to hear you're doing okay. Tell me more about how your week has been going.,User 9,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm trying to maintain my daily routine. It helps me stay grounded.,Establishing a routine is a wonderful way to find stability. How has that been working for you?,User 7,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I've been practicing the breathing exercises you suggested.,I'm glad to hear that. Have you noticed a difference in how you feel when you use them?,User 2,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I've been practicing the breathing exercises you suggested.,I'm glad to hear that. Have you noticed a difference in how you feel when you use them?,User 8,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",My anxiety is through the roof today. My heart won't stop racing.,That physical sensation of anxiety can be very scary. Let's try a grounding exercise to help bring your heart rate down.,User 4,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",My anxiety is through the roof today. My heart won't stop racing.,That physical sensation of anxiety can be very scary. Let's try a grounding exercise to help bring your heart rate down.,User 5,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I went for a long walk today and it really cleared my head.,Nature and movement can be very therapeutic. How did you feel afterwards?,User 6,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm curious about how to improve my sleep habits.,Sleep is foundational for mental health. We can certainly look at some sleep hygiene tips together.,User 8,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I had a huge argument with my family and I feel completely drained and hopeless.,I'm so sorry you're going through that. Conflict with loved ones is exhausting. Let's talk about what happened.,User 9,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.","I've been feeling okay lately, just wanted to check in and talk about my week.",It's great to hear you're doing okay. Tell me more about how your week has been going.,User 2,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm so angry and frustrated that I just want to give up.,Anger is often a signal that a boundary has been crossed or a need isn't being met. Let's explore that frustration.,User 7,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.","I feel like I'm failing at everything. Work, home, relationships—it's all too much.","It's common to feel that way when stress accumulates, but feelings aren't always facts. Let's look at these pieces one by one.",User 8,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm curious about how to improve my sleep habits.,Sleep is foundational for mental health. We can certainly look at some sleep hygiene tips together.,User 2,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.","I've been feeling okay lately, just wanted to check in and talk about my week.",It's great to hear you're doing okay. Tell me more about how your week has been going.,User 10,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm curious about how to improve my sleep habits.,Sleep is foundational for mental health. We can certainly look at some sleep hygiene tips together.,User 9,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm trying to maintain my daily routine. It helps me stay grounded.,Establishing a routine is a wonderful way to find stability. How has that been working for you?,User 9,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.","I've been feeling okay lately, just wanted to check in and talk about my week.",It's great to hear you're doing okay. Tell me more about how your week has been going.,User 3,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.","I'm feeling neutral today, neither good nor bad.",Neutral days are a perfectly valid part of the process. Is there anything specific on your mind?,User 4,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm trying to maintain my daily routine. It helps me stay grounded.,Establishing a routine is a wonderful way to find stability. How has that been working for you?,User 4,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm so angry and frustrated that I just want to give up.,Anger is often a signal that a boundary has been crossed or a need isn't being met. Let's explore that frustration.,User 9,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I've been practicing the breathing exercises you suggested.,I'm glad to hear that. Have you noticed a difference in how you feel when you use them?,User 2,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I went for a long walk today and it really cleared my head.,Nature and movement can be very therapeutic. How did you feel afterwards?,User 8,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I went for a long walk today and it really cleared my head.,Nature and movement can be very therapeutic. How did you feel afterwards?,User 7,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm so angry and frustrated that I just want to give up.,Anger is often a signal that a boundary has been crossed or a need isn't being met. Let's explore that frustration.,User 3,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I went for a long walk today and it really cleared my head.,Nature and movement can be very therapeutic. How did you feel afterwards?,User 5,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I had a good day at work today and felt productive.,That's excellent. Recognizing those productive days is important for your progress.,User 5,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.","I've been feeling okay lately, just wanted to check in and talk about my week.",It's great to hear you're doing okay. Tell me more about how your week has been going.,User 9,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.","I've been feeling okay lately, just wanted to check in and talk about my week.",It's great to hear you're doing okay. Tell me more about how your week has been going.,User 4,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I had a good day at work today and felt productive.,That's excellent. Recognizing those productive days is important for your progress.,User 8,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.","I'm feeling neutral today, neither good nor bad.",Neutral days are a perfectly valid part of the process. Is there anything specific on your mind?,User 9,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I've been practicing the breathing exercises you suggested.,I'm glad to hear that. Have you noticed a difference in how you feel when you use them?,User 4,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",Everything is spiraling out of control and I'm starting to panic.,It sounds like things feel very intense right now. Let's try to focus on one small thing we can control in this moment.,User 7,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",Everything is spiraling out of control and I'm starting to panic.,It sounds like things feel very intense right now. Let's try to focus on one small thing we can control in this moment.,User 4,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm feeling incredibly overwhelmed and I don't think I can handle this anymore.,I hear how much pain you're in right now. Please know that you don't have to carry this alone. Let's breathe through this together.,User 2,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I went for a long walk today and it really cleared my head.,Nature and movement can be very therapeutic. How did you feel afterwards?,User 3,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm curious about how to improve my sleep habits.,Sleep is foundational for mental health. We can certainly look at some sleep hygiene tips together.,User 7,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I had a good day at work today and felt productive.,That's excellent. Recognizing those productive days is important for your progress.,User 3,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm feeling incredibly overwhelmed and I don't think I can handle this anymore.,I hear how much pain you're in right now. Please know that you don't have to carry this alone. Let's breathe through this together.,User 7,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm curious about how to improve my sleep habits.,Sleep is foundational for mental health. We can certainly look at some sleep hygiene tips together.,User 5,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I've been practicing the breathing exercises you suggested.,I'm glad to hear that. Have you noticed a difference in how you feel when you use them?,User 7,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I had a huge argument with my family and I feel completely drained and hopeless.,I'm so sorry you're going through that. Conflict with loved ones is exhausting. Let's talk about what happened.,User 4,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.","I feel like I'm failing at everything. Work, home, relationships—it's all too much.","It's common to feel that way when stress accumulates, but feelings aren't always facts. Let's look at these pieces one by one.",User 6,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.","I feel like I'm failing at everything. Work, home, relationships—it's all too much.","It's common to feel that way when stress accumulates, but feelings aren't always facts. Let's look at these pieces one by one.",User 5,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I'm trying to maintain my daily routine. It helps me stay grounded.,Establishing a routine is a wonderful way to find stability. How has that been working for you?,User 3,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.","I'm feeling neutral today, neither good nor bad.",Neutral days are a perfectly valid part of the process. Is there anything specific on your mind?,User 6,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",Everything is spiraling out of control and I'm starting to panic.,It sounds like things feel very intense right now. Let's try to focus on one small thing we can control in this moment.,User 3,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I had a good day at work today and felt productive.,That's excellent. Recognizing those productive days is important for your progress.,User 9,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.","I've been feeling okay lately, just wanted to check in and talk about my week.",It's great to hear you're doing okay. Tell me more about how your week has been going.,User 7,Therapist 1
"You are a helpful mental health counselling assistant, please answer the mental health questions based on the patient's description. 
The assistant gives helpful, comprehensive, and appropriate answers to the user's questions.",I've been practicing the breathing exercises you suggested.,I'm glad to hear that. Have you noticed a difference in how you feel when you use them?,User 2,Therapist 1
